Taxon	EUK.Mock.1
No blast hit;Other;Other;Other;Other;Other	0.284531660097
Root;k__Eukaryota;p__Environmental_samples;c__Uncultured_eukaryote;g__Environmental_samples;s__Uncultured_eukaryote	0.0121635732495
Root;k__Eukaryota;p__Fungi;c__Chytridiomycota;g__Batrachochytrium;s__Batrachochytrium_dendrobatidis_jel423	0.0160393599308
Root;k__Eukaryota;p__Fungi;c__Chytridiomycota;g__Cladochytrium;s__Cladochytrium_sp._nbrc_105429	0.000103479741489
Root;k__Eukaryota;p__Fungi;c__Chytridiomycota;g__Environmental_samples;s__Uncultured_chytridiomycota	2.82217476788e-05
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Aspergillus;s__Aspergillus_niger	1.88144984525e-05
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Buellia;s__Buellia_elegans	1.88144984525e-05
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Candida;s__Candida_ernobii	3.7628996905e-05
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Candida;s__Candida_lignicola	0.000169330486073
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Candida;s__Candida_naeodendra	6.58507445838e-05
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Candida;s__Candida_parapsilosis	3.7628996905e-05
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Candida;s__Candida_sp._bg02-7-14-001k-1-1	0.000620878448933
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Candida;s__Candida_sp._nrrl_y-27690	3.7628996905e-05
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Candida;s__Candida_sp._y15_eg-2010	3.7628996905e-05
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Candida;s__Candida_succiphila	0.000329253722919
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Candida;s__Candida_tanzawaensis	1.88144984525e-05
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Candida;s__Candida_valdiviana	1.88144984525e-05
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Capnobotryella;s__Capnobotryella_sp._ma_3612	3.7628996905e-05
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Clavispora;s__Clavispora_lusitaniae_atcc_42720	0.0187674622064
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Coccidioides;s__Coccidioides_posadasii_rmscc_1037	0.0379112143818
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Dendryphiopsis;s__Dendryphiopsis_atra	1.88144984525e-05
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Environmental_samples;s__Debaryomyces_sp._enrichment_culture_clone_mpsr02	0.000329253722919
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Environmental_samples;s__Uncultured_dikarya	8.46652430363e-05
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Filobasidiella/cryptococcus_neoformans_species_complex;s__Cryptococcus_gattii	0.0615610389366
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Filobasidiella/cryptococcus_neoformans_species_complex;s__Cryptococcus_gattii_wm276	7.525799381e-05
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Humidicutis;s__Humidicutis_marginata	5.64434953575e-05
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Kluyveromyces;s__Kluyveromyces_blattae	8.46652430363e-05
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Kuraishia;s__Kuraishia_capsulata	5.64434953575e-05
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Millerozyma;s__Millerozyma_farinosa	1.88144984525e-05
Root;k__Eukaryota;p__Fungi;c__Dikarya;g__Neoplaconema;s__Neoplaconema_gloeosporioides	1.88144984525e-05
